search_date,outbound_flight_date,outbound_airline,outbound_departure_hour,outboud_arrival_hour,outbound_departure_airport,outbound_arrival_airport,outbound_flight_duration,outbound_flight_stops,inbound_flight_date,inbound_airline,inbound_departure_hour,inboud_arrival_hour,inbound_departure_airport,inbound_arrival_airport,inbound_flight_duration,intbound_flight_stops,price
2024-05-29,2024-06-29,easyJet,10:00,12:25,LGW,OPO,2h 25m,direct,2024-07-03,easyJet,07:00,09:20,OPO,LGW,2h 20m,direct,£198
2024-05-29,2024-06-29,Wizz Air Malta,21:10,08:40+1,LGW,OPO,11h 30m,1 stop,2024-07-03,,06:45,17:20,OPO,LGW,10h 35m,1 stop,£139
2024-05-29,2024-06-29,easyJet,05:20,07:40,LGW,OPO,2h 20m,direct,2024-07-03,easyJet,07:00,09:20,OPO,LGW,2h 20m,direct,£167
2024-05-29,2024-06-29,TAP AIR PORTUGAL,21:05,23:30,LGW,OPO,2h 25m,direct,2024-07-03,TAP AIR PORTUGAL,08:55,11:10,OPO,LGW,2h 15m,direct,£192
2024-05-29,2024-06-29,easyJet,10:00,12:25,LGW,OPO,2h 25m,direct,2024-07-03,easyJet,19:20,21:40,OPO,LGW,2h 20m,direct,£253
2024-05-29,2024-06-29,easyJet,05:20,07:40,LGW,OPO,2h 20m,direct,2024-07-03,easyJet,19:20,21:40,OPO,LGW,2h 20m,direct,£222
2024-05-29,2024-06-29,easyJet,10:00,12:25,LGW,OPO,2h 25m,direct,2024-07-03,TAP AIR PORTUGAL,08:55,11:10,OPO,LGW,2h 15m,direct,£277
2024-05-29,2024-06-29,British Airways,07:10,09:35,LGW,OPO,2h 25m,direct,2024-07-03,British Airways,20:05,22:30,OPO,LGW,2h 25m,direct,£319
2024-05-29,2024-06-29,TAP AIR PORTUGAL,21:05,23:30,LGW,OPO,2h 25m,direct,2024-07-03,TAP AIR PORTUGAL,18:05,20:20,OPO,LGW,2h 15m,direct,£264
2024-05-29,2024-06-29,easyJet,05:20,07:40,LGW,OPO,2h 20m,direct,2024-07-03,TAP AIR PORTUGAL,08:55,11:10,OPO,LGW,2h 15m,direct,£247
2024-05-29,2024-06-29,easyJet,10:00,12:25,LGW,OPO,2h 25m,direct,2024-07-03,TAP AIR PORTUGAL,18:05,20:20,OPO,LGW,2h 15m,direct,£316
2024-05-29,2024-06-29,easyJet,05:20,07:40,LGW,OPO,2h 20m,direct,2024-07-03,TAP AIR PORTUGAL,18:05,20:20,OPO,LGW,2h 15m,direct,£285
2024-05-29,2024-06-29,CitizenPlane,21:05,23:30,LGW,OPO,2h 25m,direct,2024-07-03,TAP AIR PORTUGAL,18:05,20:20,OPO,LGW,2h 15m,direct,£330
2024-05-29,2024-06-29,TAP AIR PORTUGAL,12:00,14:25,LGW,OPO,2h 25m,direct,2024-07-03,TAP AIR PORTUGAL,08:55,11:10,OPO,LGW,2h 15m,direct,£386
2024-05-29,2024-06-29,TAP AIR PORTUGAL,21:05,23:30,LGW,OPO,2h 25m,direct,2024-07-03,easyJet,07:00,09:20,OPO,LGW,2h 20m,direct,£176
2024-05-29,2024-06-29,,18:35,23:45,LGW,OPO,5h 10m,1 stop,2024-07-03,easyJet,07:00,09:20,OPO,LGW,2h 20m,direct,£153
2024-05-29,2024-06-29,easyJet,05:20,07:40,LGW,OPO,2h 20m,direct,2024-07-04,easyJet,06:40,09:00,OPO,LGW,2h 20m,direct,£187
2024-05-29,2024-06-29,easyJet,10:00,12:25,LGW,OPO,2h 25m,direct,2024-07-04,easyJet,06:40,09:00,OPO,LGW,2h 20m,direct,£191
2024-05-29,2024-06-29,Wizz Air Malta,21:10,08:40+1,LGW,OPO,11h 30m,1 stop,2024-07-04,,06:00,11:30,OPO,LGW,5h 30m,1 stop,£139
2024-05-29,2024-06-29,easyJet,05:20,07:40,LGW,OPO,2h 20m,direct,2024-07-04,easyJet,06:40,09:00,OPO,LGW,2h 20m,direct,£160
2024-05-29,2024-06-29,TAP AIR PORTUGAL,21:05,23:30,LGW,OPO,2h 25m,direct,2024-07-04,British Airways,10:15,12:35,OPO,LGW,2h 20m,direct,£241
2024-05-29,2024-06-29,TAP AIR PORTUGAL,21:05,23:30,LGW,OPO,2h 25m,direct,2024-07-04,TAP AIR PORTUGAL,18:05,20:20,OPO,LGW,2h 15m,direct,£244
2024-05-29,2024-06-29,TAP AIR PORTUGAL,21:05,23:30,LGW,OPO,2h 25m,direct,2024-07-04,TAP AIR PORTUGAL,08:55,11:10,OPO,LGW,2h 15m,direct,£244
